|name|printed|r|g|b|w|u
43|Abu Ja'far|1993-12-17|0|0|0|1|0
44|Abuna Acolyte|2010-09-30|0|0|0|1|0
45|Abundance|1998-10-12|0|1|0|0|0
46|Abundant Growth|2012-04-28|0|1|0|0|0
47|Abundant Maw|2016-07-22|0|0|0|0|0
48|Abyssal Gatekeeper|1997-06-09|0|0|1|0|0
49|Abyssal Horror|1998-10-12|0|0|1|0|0
50|Abyssal Hunter|1996-10-08|0|0|1|0|0
51|Abyssal Nightstalker|1998-06-24|0|0|1|0|0
52|Abyssal Nocturnus|2006-02-03|0|0|1|0|0
53|Abyssal Persecutor|2010-02-05|0|0|1|0|0
54|Abyssal Specter|1995-06-03|0|0|1|0|0
55|Abzan Advantage|2015-01-17|0|0|0|1|0
56|Abzan Ascendancy|2014-09-26|0|1|1|1|0
57|Abzan Banner|2014-09-26|0|0|0|0|0
58|Abzan Battle Priest|2014-09-26|0|0|0|1|0
59|Abzan Beastmaster|2015-01-17|0|1|0|0|0
60|Abzan Charm|2014-09-26|0|1|1|1|0
61|Abzan Falconer|2014-09-26|0|0|0|1|0
62|Abzan Guide|2014-09-26|0|1|1|1|0
63|Abzan Kin-Guard|2015-01-17|0|1|0|0|0
64|Abzan Runemark|2015-01-17|0|0|0|1|0
65|Abzan Skycaptain|2015-01-17|0|0|0|1|0
66|Academic Dispute|2021-04-23|1|0|0|0|0
67|Academic Probation|2021-04-23|0|0|0|1|0
68|Academy Drake|2018-04-27|0|0|0|0|1
69|Academy Elite|2014-06-06|0|0|0|0|1
70|Academy Journeymage|2018-04-27|0|0|0|0|1
71|Academy Raider|2013-07-19|1|0|0|0|0
72|Academy Rector|1999-06-07|0|0|0|1|0
73|Academy Researchers|1998-10-12|0|0|0|0|1
74|Academy Ruins|2006-10-06|0|0|0|0|0
75|Accelerate|2002-02-04|1|0|0|0|0
76|Accelerated Mutation|2003-05-26|0|1|0|0|0
77|Acceptable Losses|2001-10-01|1|0|0|0|0
78|Access Tunnel|2021-04-23|0|0|0|0|0
79|Acclaimed Contender|2019-10-04|0|0|0|1|0
80|Accomplished Alchemist|2021-04-23|0|1|0|0|0
81|Accomplished Automaton|2016-09-30|0|0|0|0|0
82|Accorder Paladin|2011-02-03|0|0|0|1|0
83|Accorder's Shield|2010-09-30|0|0|0|0|0
84|Accumulated Knowledge|2000-02-14|0|0|0|0|1
85|Accursed Centaur|2002-10-07|0|0|1|0|0
86|Accursed Horde|2017-07-14|0|0|1|0|0
87|Accursed Spirit|2013-07-19|0|0|1|0|0
88|Acid Rain|1994-06-01|0|0|0|0|1
89|Acid Web Spider|2010-09-30|0|1|0|0|0
90|Acid-Spewer Dragon|2015-03-27|0|0|1|0|0
91|Acidic Dagger|1996-10-08|0|0|0|0|0
92|Acidic Slime|2009-07-16|0|1|0|0|0
93|Acidic Sliver|1998-03-02|1|0|1|0|0
94|Acidic Soil|1998-10-12|1|0|0|0|0
95|Acolyte of Affliction|2020-01-24|0|1|1|0|0
96|Acolyte of Xathrid|2009-07-16|0|0|1|0|0
97|Acolyte of the Inferno|2015-07-17|1|0|0|0|0
98|Acolyte's Reward|2014-02-01|0|0|0|1|0
99|Acorn Catapult|2011-06-17|0|0|0|0|0
100|Acorn Harvest|2002-02-04|0|1|0|0|0
101|Acquisitions Expert|2020-09-25|0|0|1|0|0
102|Acridian|1998-10-12|0|1|0|0|0
103|Acrobatic Maneuver|2016-09-30|0|0|0|1|0
104|Act of Aggression|2011-05-12|1|0|0|0|0
105|Act of Authority|2013-11-01|0|0|0|1|0
106|Act of Heroism|2017-07-14|0|0|0|1|0
107|Act of Treason|2009-07-16|1|0|0|0|0
108|Act on Impulse|2014-07-12|1|0|0|0|0
109|Active Volcano|1994-06-01|1|0|0|0|0
110|Ad Nauseam|2008-10-03|0|0|1|0|0
111|Adamant Will|2018-04-27|0|0|0|1|0
112|Adamaro, First to Desire|2005-06-03|1|0|0|0|0
113|Adanto Vanguard|2017-09-29|0|0|0|1|0
114|Adaptive Automaton|2011-07-14|0|0|0|0|0
115|Adaptive Shimmerer|2020-04-24|0|0|0|0|0
116|Adaptive Snapjaw|2013-01-26|0|1|0|0|0
117|Adarkar Sentinel|1995-06-03|0|0|0|0|0
118|Adarkar Unicorn|1995-06-03|0|0|0|1|0
119|Adarkar Valkyrie|2006-07-21|0|0|0|1|0
120|Adarkar Wastes|1995-06-03|0|0|0|0|0
121|Adarkar Windform|2006-07-21|0|0|0|0|1
122|Adder-Staff Boggart|2007-10-12|1|0|0|0|0
123|Addle|2000-10-02|0|0|1|0|0
124|Adeline, Resplendent Cathar|2022-01-28|0|0|0|1|0
125|Adeliz, the Cinder Wind|2018-04-27|1|0|0|0|1
126|Adherent of Hope|2020-07-03|0|0|0|1|0
127|Admiral Beckett Brass|2017-09-29|1|0|1|0|1
128|Admiral's Order|2018-01-19|0|0|0|0|1
129|Admonition Angel|2010-02-05|0|0|0|1|0
130|Adorned Pouncer|2017-07-14|0|0|0|1|0
131|Adriana's Valor|2016-08-26|0|0|0|0|0
132|Adriana, Captain of the Guard|2016-08-26|1|0|0|1|0
133|Adun Oakenshield|1994-06-01|1|1|1|0|0
134|Advance Scout|1997-10-14|0|0|0|1|0
135|Advanced Stitchwing|2016-07-22|0|0|0|0|1
136|Advantageous Proclamation|2014-06-06|0|0|0|0|0
137|Advent of the Wurm|2013-04-27|0|1|0|1|0
138|Adventure Awaits|2020-09-25|0|1|0|0|0
139|Adventurers' Guildhouse|1994-06-01|0|0|0|0|0
140|Adventuring Gear|2009-10-02|0|0|0|0|0
141|Adventurous Impulse|2018-04-27|0|1|0|0|0
142|Adverse Conditions|2015-10-02|0|0|0|0|0
143|Advice from the Fae|2008-05-02|0|0|0|0|1
144|Advocate of the Beast|2013-07-19|0|1|0|0|0
145|Aegar, the Freezing Flame|2021-02-05|1|0|0|0|1
146|Aegis Angel|2011-07-14|0|0|0|1|0
147|Aegis Automaton|2017-01-20|0|0|0|0|0
148|Aegis Turtle|2020-04-24|0|0|0|0|1
149|Aegis of Honor|2001-10-01|0|0|0|1|0
150|Aegis of the Gods|2014-04-26|0|0|0|1|0
151|Aegis of the Heavens|2018-07-13|0|0|0|1|0
152|Aegis of the Meek|1995-06-03|0|0|0|0|0
153|Aeolipile|1994-11-01|0|0|0|0|0
154|Aeon Chronicler|2007-02-02|0|0|0|0|1
155|Aeon Engine|2019-08-23|0|0|0|0|0
156|Aerathi Berserker|1994-06-01|1|0|0|0|0
157|Aerial Assault|2019-07-12|0|0|0|1|0
158|Aerial Caravan|1999-10-04|0|0|0|0|1
159|Aerial Engineer|2018-07-13|0|0|0|1|1
160|Aerial Formation|2014-04-26|0|0|0|0|1
161|Aerial Guide|2017-07-14|0|0|0|0|1
162|Aerial Maneuver|2013-01-26|0|0|0|1|0
163|Aerial Modification|2017-01-20|0|0|0|1|0
164|Aerial Predation|2012-10-05|0|1|0|0|0
165|Aerial Responder|2016-09-30|0|0|0|1|0
166|Aerial Volley|2015-07-17|0|1|0|0|0
167|Aerie Bowmasters|2015-03-27|0|1|0|0|0
168|Aerie Mystics|2009-02-06|0|0|0|1|0
169|Aerie Ouphes|2008-07-25|0|1|0|0|0
170|Aerie Worshippers|2014-02-01|0|0|0|0|1
171|Aeromoeba|2021-08-26|0|0|0|0|1
172|Aeromunculus|2019-01-25|0|1|0|0|1
173|Aeronaut Admiral|2017-01-20|0|0|0|1|0
174|Aeronaut Tinkerer|2014-07-12|0|0|0|0|1
175|Aesi, Tyrant of Gyre Strait|2020-11-20|0|1|0|0|1
176|Aesthir Glider|1996-06-10|0|0|0|0|0
177|Aether Adept|2010-07-15|0|0|0|0|1
178|Aether Barrier|2000-02-14|0|0|0|0|1
179|Aether Burst|2001-10-01|0|0|0|0|1
180|Aether Charge|2002-10-07|1|0|0|0|0
181|Aether Chaser|2017-01-20|1|0|0|0|0
182|Aether Figment|2009-10-02|0|0|0|0|1
183|Aether Flash|1997-06-09|1|0|0|0|0
184|Aether Gale|2014-11-07|0|0|0|0|1
185|Aether Gust|2019-07-12|0|0|0|0|1
186|Aether Helix|2021-04-23|0|1|0|0|1
187|Aether Herder|2017-01-20|0|1|0|0|0
188|Aether Hub|2016-09-30|0|0|0|0|0
189|Aether Inspector|2017-01-20|0|0|0|1|0
190|Aether Meltdown|2016-09-30|0|0|0|0|1
191|Aether Membrane|2007-02-02|1|0|0|0|0
192|Aether Mutation|2001-06-04|0|1|0|0|1
193|Aether Poisoner|2017-01-20|0|0|1|0|0
194|Aether Rift|2000-10-02|1|1|0|0|0
195|Aether Searcher|2014-06-06|0|0|0|0|0
196|Aether Shockwave|2005-06-03|0|0|0|1|0
197|Aether Snap|2004-02-06|0|0|1|0|0
198|Aether Spellbomb|2003-10-02|0|0|0|0|0
199|Aether Sting|1999-06-07|1|0|0|0|0
200|Aether Storm|1995-10-01|0|0|0|0|1
201|Aether Swooper|2017-01-20|0|0|0|0|1
202|Aether Theorist|2016-09-30|0|0|0|0|1
203|Aether Tide|1998-06-15|0|0|0|0|1
204|Aether Tradewinds|2010-02-05|0|0|0|0|1
205|Aether Tunnel|2018-07-13|0|0|0|0|1
206|Aether Vial|2004-02-06|0|0|0|0|0
207|Aether Web|2006-10-06|0|1|0|0|0
208|Aetherborn Marauder|2016-09-30|0|0|1|0|0
209|Aetherflame Wall|2006-10-06|1|0|0|0|0
210|Aetherflux Reservoir|2016-09-30|0|0|0|0|0
211|Aethergeode Miner|2017-01-20|0|0|0|1|0
212|Aetherize|2013-01-26|0|0|0|0|1
213|Aetherling|2013-04-27|0|0|0|0|1
214|Aethermage's Touch|2006-05-05|0|0|0|1|1
215|Aetherplasm|2006-02-03|0|0|0|0|1
216|Aethershield Artificer|2018-07-13|0|0|0|1|0
217|Aethersnatch|2015-11-13|0|0|0|0|1
218|Aethersnipe|2007-10-12|0|0|0|0|1
219|Aethersphere Harvester|2017-01-20|0|0|0|0|0
220|Aetherspouts|2014-07-12|0|0|0|0|1
221|Aethersquall Ancient|2016-09-30|0|0|0|0|1
222|Aetherstorm Roc|2016-09-30|0|0|0|1|0
223|Aetherstream Leopard|2017-01-20|0|1|0|0|0
224|Aethertide Whale|2017-01-20|0|0|0|0|1
225|Aethertorch Renegade|2016-09-30|1|0|0|0|0
226|Aethertow|2008-05-02|0|0|0|1|1
227|Aetherwind Basker|2017-01-20|0|1|0|0|0
228|Aetherworks Marvel|2016-09-30|0|0|0|0|0
229|Aeve, Progenitor Ooze|2021-08-26|0|1|0|0|0
230|Affa Guard Hound|2010-04-23|0|0|0|1|0
231|Affa Protector|2016-01-22|0|0|0|1|0
232|Affectionate Indrik|2018-11-09|0|1|0|0|0
233|Afflict|2001-10-01|0|0|1|0|0
234|Afflicted Deserter|2012-01-28|1|0|0|0|0
235|Werewolf Ransacker|2012-01-28|1|0|0|0|0
236|Afiya Grove|1996-10-08|0|1|0|0|0
237|Afterlife|1996-10-08|0|0|0|1|0
238|Aftershock|1997-10-14|1|0|0|0|0
239|Agadeem Occultist|2010-02-05|0|0|1|0|0
240|Agadeem's Awakening|2020-09-25|0|0|1|0|0
241|Agadeem, the Undercrypt|2020-09-25|0|0|0|0|0
242|Ageless Entity|2004-02-06|0|1|0|0|0
243|Ageless Guardian|2021-04-23|0|0|0|1|0
244|Ageless Sentinels|2003-05-26|0|0|0|1|0
245|Agent of Acquisitions|2014-06-06|0|0|0|0|0
246|Agent of Erebos|2014-04-26|0|0|1|0|0
247|Agent of Horizons|2013-09-21|0|1|0|0|0
248|Agent of Masks|2006-02-03|0|0|1|1|0
249|Agent of Shauku|2000-06-05|0|0|1|0|0
250|Agent of Stromgald|1996-06-10|1|0|0|0|0
251|Agent of Treachery|2019-07-12|0|0|0|0|1
252|Agent of the Fates|2013-09-21|0|0|1|0|0
253|Aggravate|2012-04-28|1|0|0|0|0
254|Aggravated Assault|2002-10-07|1|0|0|0|0
255|Aggression|1995-06-03|1|0|0|0|0
256|Aggressive Instinct|2016-11-16|0|1|0|0|0
257|Aggressive Mammoth|2018-07-13|0|1|0|0|0
258|Aggressive Mining|2014-07-12|1|0|0|0|0
259|Aggressive Urge|2000-10-02|0|1|0|0|0
260|Agility|1996-10-08|1|0|0|0|0
261|Agitator Ant|2020-04-17|1|0|0|0|0
262|Agonizing Demise|2000-10-02|0|0|1|0|0
263|Agonizing Memories|1997-06-09|0|0|1|0|0
264|Agonizing Remorse|2020-01-24|0|0|1|0|0
265|Agonizing Syphon|2019-07-12|0|0|1|0|0
266|Agony Warp|2008-10-03|0|0|1|0|1
267|Agoraphobia|2013-01-26|0|0|0|0|1
268|Agrus Kos, Wojek Veteran|2005-10-07|1|0|0|1|0
269|Ahn-Crop Champion|2017-04-28|0|1|0|1|0
270|Ahn-Crop Crasher|2017-04-28|1|0|0|0|0
271|Ahn-Crop Invader|2019-05-03|1|0|0|0|0
272|Aid from the Cowl|2017-01-20|0|1|0|0|0
273|Aid the Fallen|2019-05-03|0|0|1|0|0
274|Aim for the Head|2021-11-19|0|0|1|0|0
275|Ainok Artillerist|2015-03-27|0|1|0|0|0
276|Ainok Bond-Kin|2014-09-26|0|0|0|1|0
277|Ainok Guide|2015-01-17|0|1|0|0|0
278|Ainok Survivalist|2015-03-27|0|1|0|0|0
279|Ainok Tracker|2014-09-26|1|0|0|0|0
280|Air Bladder|2000-02-14|0|0|0|0|1
281|Air Elemental|1993-08-05|0|0|0|0|1
282|Air Servant|2010-07-15|0|0|0|0|1
283|Airborne Aid|2002-10-07|0|0|0|0|1
284|Airdrop Aeronauts|2017-01-20|0|0|0|1|0
285|Airdrop Condor|2002-10-07|1|0|0|0|0
286|Aisling Leprechaun|1994-06-01|0|1|0|0|0
287|Ajani Goldmane|2007-10-12|0|0|0|1|0
288|Ajani Steadfast|2014-07-12|0|0|0|1|0
289|Ajani Unyielding|2017-01-20|0|1|0|1|0
290|Ajani Vengeant|2008-10-03|1|0|0|1|0
291|Ajani's Aid|2017-01-20|0|1|0|1|0
292|Ajani's Chosen|2013-07-19|0|0|0|1|0
293|Ajani's Comrade|2017-01-20|0|1|0|0|0
294|Ajani's Influence|2018-07-13|0|0|0|1|0
295|Ajani's Last Stand|2018-07-13|0|0|0|1|0
296|Ajani's Mantra|2010-07-15|0|0|0|1|0
297|Ajani's Presence|2014-04-26|0|0|0|1|0
298|Ajani's Pridemate|2010-07-15|0|0|0|1|0
299|Ajani's Sunstriker|2012-07-12|0|0|0|1|0
300|Ajani's Welcome|2018-07-13|0|0|0|1|0
301|Ajani, Adversary of Tyrants|2018-07-13|0|0|0|1|0
302|Ajani, Caller of the Pride|2012-07-12|0|0|0|1|0
303|Ajani, Inspiring Leader|2019-07-12|0|0|0|1|0
304|Ajani, Mentor of Heroes|2014-04-26|0|1|0|1|0
305|Ajani, Strength of the Pride|2019-07-12|0|0|0|1|0
306|Ajani, Valiant Protector|2017-01-20|0|1|0|1|0
307|Ajani, Wise Counselor|2018-07-13|0|0|0|1|0
308|Ajani, the Greathearted|2019-05-03|0|1|0|1|0
309|Akim, the Soaring Wind|2020-04-17|1|0|0|1|1
310|Akiri, Fearless Voyager|2020-09-25|1|0|0|1|0
311|Akiri, Line-Slinger|2016-11-11|1|0|0|1|0
312|Akki Avalanchers|2004-10-01|1|0|0|0|0
313|Akki Blizzard-Herder|2005-02-04|1|0|0|0|0
314|Akki Coalflinger|2004-10-01|1|0|0|0|0
315|Akki Drillmaster|2005-06-03|1|0|0|0|0
316|Akki Lavarunner|2004-10-01|1|0|0|0|0
317|Tok-Tok, Volcano Born|2004-10-01|1|0|0|0|0
318|Akki Raider|2005-02-04|1|0|0|0|0
319|Akki Rockspeaker|2004-10-01|1|0|0|0|0
320|Akki Underling|2005-06-03|1|0|0|0|0
321|Akki Underminer|2004-10-01|1|0|0|0|0
322|Akoum Battlesinger|2010-02-05|1|0|0|0|0
323|Akoum Boulderfoot|2010-04-23|1|0|0|0|0
324|Akoum Firebird|2015-10-02|1|0|0|0|0
325|Akoum Flameseeker|2016-01-22|1|0|0|0|0
326|Akoum Hellhound|2020-09-25|1|0|0|0|0
327|Akoum Hellkite|2015-10-02|1|0|0|0|0
328|Akoum Refuge|2009-10-02|0|0|0|0|0
329|Akoum Stonewaker|2015-10-02|1|0|0|0|0
330|Akoum Warrior|2020-09-25|1|0|0|0|0
331|Akoum Teeth|2020-09-25|0|0|0|0|0
332|Akrasan Squire|2008-10-03|0|0|0|1|0
333|Akroan Conscriptor|2014-02-01|1|0|0|0|0
334|Akroan Crusader|2013-09-21|1|0|0|0|0
335|Akroan Hoplite|2013-09-21|1|0|0|1|0
336|Akroan Horse|2013-09-21|0|0|0|0|0
337|Akroan Jailer|2015-07-17|0|0|0|1|0
338|Akroan Line Breaker|2014-04-26|1|0|0|0|0
339|Akroan Mastiff|2014-04-26|0|0|0|1|0
340|Akroan Phalanx|2014-02-01|0|0|0|1|0
341|Akroan Sergeant|2015-07-17|1|0|0|0|0
342|Akroan Skyguard|2014-02-01|0|0|0|1|0
343|Akroma's Blessing|2002-10-07|0|0|0|1|0
344|Akroma's Memorial|2007-05-04|0|0|0|0|0
345|Akroma's Vengeance|2002-10-07|0|0|0|1|0
346|Akroma's Will|2020-11-20|0|0|0|1|0
347|Akroma, Angel of Fury|2007-02-02|1|0|0|0|0
348|Akroma, Angel of Wrath|2009-04-10|0|0|0|1|0
349|Akroma, Vision of Ixidor|2020-11-20|0|0|0|1|0
350|Akron Legionnaire|1994-06-01|0|0|0|1|0
351|Aku Djinn|1997-02-03|0|0|1|0|0
352|Akuta, Born of Ash|2005-06-03|0|0|1|0|0
353|Al-abara's Carpet|1994-06-01|0|0|0|0|0
354|Alabaster Dragon|1997-06-09|0|0|0|1|0
355|Alabaster Kirin|2014-09-26|0|0|0|1|0
356|Alabaster Leech|2000-10-02|0|0|0|1|0
357|Alabaster Mage|2011-07-14|0|0|0|1|0
358|Alabaster Potion|1994-06-01|0|0|0|1|0
359|Alabaster Wall|1999-10-04|0|0|0|1|0
360|Alaborn Cavalier|1998-06-24|0|0|0|1|0
361|Alaborn Grenadier|1998-06-24|0|0|0|1|0
362|Alaborn Musketeer|1998-06-24|0|0|0|1|0
363|Alaborn Trooper|1998-06-24|0|0|0|1|0
364|Alaborn Veteran|1998-06-24|0|0|0|1|0
365|Alaborn Zealot|1998-06-24|0|0|0|1|0
366|Aladdin|1993-12-17|1|0|0|0|0
367|Aladdin's Lamp|1993-12-17|0|0|0|0|0
368|Aladdin's Ring|1993-12-17|0|0|0|0|0
369|Alarum|1996-10-08|0|0|0|1|0
370|Albino Troll|1998-10-12|0|1|0|0|0
371|Alchemist's Apprentice|2012-04-28|0|0|0|0|1
372|Alchemist's Gambit|2021-11-19|1|0|0|0|0
373|Alchemist's Gift|2020-07-03|0|0|1|0|0
374|Alchemist's Greeting|2016-07-22|1|0|0|0|0
375|Alchemist's Refuge|2012-04-28|0|0|0|0|0
376|Alchemist's Retrieval|2021-11-19|0|0|0|0|1
377|Alchemist's Vial|2015-07-17|0|0|0|0|0
378|Alchor's Tomb|1994-06-01|0|0|0|0|0
379|Aleatory|1996-10-08|1|0|0|0|0
380|Alela, Artful Provocateur|2019-10-04|0|0|1|1|1
381|Alena, Kessig Trapper|2020-11-20|1|0|0|0|0
382|Alert Heedbonder|2020-04-24|0|1|0|1|0
383|Alert Shu Infantry|1999-07-06|0|0|0|1|0
384|Alesha's Vanguard|2015-01-17|0|0|1|0|0
385|Alesha, Who Smiles at Death|2015-01-17|1|0|0|0|0
386|Alexi's Cloak|2000-06-05|0|0|0|0|1
387|Alexi, Zephyr Mage|2000-06-05|0|0|0|0|1
388|Algae Gharial|2008-10-03|0|1|0|0|0
389|Alhammarret's Archive|2015-07-17|0|0|0|0|0
390|Alhammarret, High Arbiter|2015-07-17|0|0|0|0|1
391|Alharu, Solemn Ritualist|2020-11-20|0|0|0|1|0
392|Ali Baba|1993-12-17|1|0|0|0|0
393|Ali from Cairo|1993-12-17|1|0|0|0|0
394|Aliban's Tower|1995-10-01|1|0|0|0|0
395|Aligned Hedron Network|2015-10-02|0|0|0|0|0
396|Alirios, Enraptured|2020-01-24|0|0|0|0|1
397|Alive|2013-04-27|0|1|0|0|0
398|Well|2013-04-27|0|0|0|1|0
399|All Hallow's Eve|1994-06-01|0|0|1|0|0
400|All Is Dust|2010-04-23|0|0|0|0|0
401|All Suns' Dawn|2015-05-22|0|1|0|0|0
402|All That Glitters|2019-10-04|0|0|0|1|0
403|Allay|1998-06-15|0|0|0|1|0
404|Alley Evasion|2017-01-20|0|0|0|1|0
405|Alley Grifters|1999-10-04|0|0|1|0|0
406|Alley Strangler|2017-01-20|0|0|1|0|0
407|Alliance of Arms|2011-06-17|0|0|0|1|0
408|Allied Assault|2020-09-25|0|0|0|1|0
409|Allied Reinforcements|2016-01-22|0|0|0|1|0
410|Allied Strategies|2001-02-05|0|0|0|0|1
411|Allosaurus Rider|2006-07-21|0|1|0|0|0
412|Allosaurus Shepherd|2020-06-18|0|1|0|0|0
413|Alloy Golem|2000-10-02|0|0|0|0|0
414|Alloy Myr|2011-05-12|0|0|0|0|0
415|Allure of the Unknown|2020-01-24|1|0|1|0|0
416|Alluring Scent|1998-06-24|0|1|0|0|0
417|Alluring Siren|2009-07-16|0|0|0|0|1
418|Alluring Suitor|2021-11-19|1|0|0|0|0
419|Deadly Dancer|2021-11-19|1|0|0|0|0
420|Ally Encampment|2015-10-02|0|0|0|0|0
421|Almighty Brushwagg|2020-04-24|0|1|0|0|0
422|Alms|1997-06-09|0|0|0|1|0
423|Alms Beast|2013-01-26|0|0|1|1|0
424|Alms Collector|2016-11-16|0|0|0|1|0
425|Alpha Authority|2013-01-26|0|1|0|0|0
426|Alpha Brawl|2012-01-28|1|0|0|0|0
427|Alpha Kavu|2001-02-05|0|1|0|0|0
428|Alpha Myr|2003-10-02|0|0|0|0|0
429|Alpha Status|2003-05-26|0|1|0|0|0
430|Alpha Tyrranax|2010-09-30|0|1|0|0|0
431|Alpine Grizzly|2014-09-26|0|1|0|0|0
432|Alpine Guide|2019-06-05|1|0|0|0|0
433|Alpine Houndmaster|2020-07-03|1|0|0|1|0
434|Alpine Meadow|2021-02-05|0|0|0|0|0
435|Alpine Moon|2018-07-13|1|0|0|0|0
436|Alpine Watchdog|2020-07-03|0|0|0|1|0
437|Alrund's Epiphany|2021-02-05|0|0|0|0|1
438|Alrund, God of the Cosmos|2021-02-05|0|0|0|0|1
439|Hakka, Whispering Raven|2021-02-05|0|0|0|0|1
440|Alseid of Life's Bounty|2020-01-24|0|0|0|1|0
441|Altac Bloodseeker|2014-07-12|1|0|0|0|0
442|Altar Golem|2008-07-25|0|0|0|0|0
443|Altar of Bone|1995-06-03|0|1|0|1|0
444|Altar of Dementia|1997-10-14|0|0|0|0|0
445|Altar of Shadows|2003-10-02|0|0|0|0|0
446|Altar of the Brood|2014-09-26|0|0|0|0|0
447|Altar of the Goyf|2021-08-26|0|0|0|0|0
448|Altar of the Lost|2012-01-28|0|0|0|0|0
449|Altar of the Pantheon|2020-01-24|0|0|0|0|0
450|Altar's Light|2003-10-02|0|0|0|1|0
451|Altar's Reap|2011-09-24|0|0|1|0|0
452|Alter Reality|2002-02-04|0|0|0|0|1
453|Aluren|1997-10-14|0|1|0|0|0
454|Amaranthine Wall|2018-04-27|0|0|0|0|0
455|Amareth, the Lustrous|2020-11-20|0|1|0|1|1
456|Amass the Components|2012-04-28|0|0|0|0|1
457|Ambassador Laquatus|2002-02-04|0|0|0|0|1
458|Ambassador Oak|2008-02-01|0|1|0|0|0
459|Amber Prison|1996-10-08|0|0|0|0|0
460|Ambition's Cost|1999-07-06|0|0|1|0|0
461|Ambitious Aetherborn|2016-09-30|0|0|1|0|0
462|Ambitious Farmhand|2022-01-28|0|0|0|1|0
463|Seasoned Cathar|2022-01-28|0|0|0|1|0
464|Ambuscade|2017-07-14|0|1|0|0|0
465|Ambuscade Shaman|2015-03-27|0|0|1|0|0
466|Ambush|1995-10-01|1|0|0|0|0
467|Ambush Commander|2003-05-26|0|1|0|0|0
468|Ambush Krotiq|2015-01-17|0|1|0|0|0
469|Ambush Party|1995-10-01|1|0|0|0|0
470|Ambush Viper|2011-09-24|0|1|0|0|0
471|Aminatou's Augury|2016-11-16|0|0|0|0|1
472|Aminatou, the Fateshifter|2016-11-16|0|0|1|1|1
473|Ammit Eternal|2017-07-14|0|0|1|0|0
474|Amnesia|1994-08-01|0|0|0|0|1
475|Amoeboid Changeling|2007-10-12|0|0|0|0|1
476|Amok|1998-03-02|1|0|0|0|0
477|Amorphous Axe|2019-06-05|0|0|0|0|0
478|Amphibious Kavu|2001-02-05|0|1|0|0|0
479|Amphin Cutthroat|2011-07-14|0|0|0|0|1
480|Amphin Mutineer|2020-11-20|0|0|0|0|1
481|Amphin Pathmage|2014-07-12|0|0|0|0|1
482|Amplifire|2019-01-25|1|0|0|0|0
483|Ampryn Tactician|2015-07-17|0|0|0|1|0
484|Amrou Kithkin|1994-06-01|0|0|0|1|0
485|Amrou Scout|2006-10-06|0|0|0|1|0
486|Amrou Seekers|2006-10-06|0|0|0|1|0
487|Amugaba|2001-10-01|0|0|0|0|1
488|Amulet of Kroog|1994-03-04|0|0|0|0|0
489|Amulet of Quoz|1995-06-03|0|0|0|0|0
