|name|printed|r|g|b|w|u|text
11|abandoned outpost|2001-10-01|0|0|0|0|0|"abandoned outpost enters the battlefield tapped.
{t}: add {w}.
{t}, sacrifice abandoned outpost: add one mana of any color."
12|abandoned sarcophagus|2017-07-14|0|0|0|0|0|"you may cast spells that have a cycling ability from your graveyard.
if a card that has a cycling ability would be put into your graveyard from anywhere and it wasn't cycled, exile it instead."
13|abattoir ghoul|2011-09-24|0|0|1|0|0|"first strike
whenever a creature dealt damage by abattoir ghoul this turn dies, you gain life equal to that creature's toughness."
14|abbey gargoyles|1995-10-01|0|0|0|1|0|flying, protection from red
15|abbey griffin|2011-09-24|0|0|0|1|0|flying, vigilance
16|abbey matron|1995-10-01|0|0|0|1|0|{w}, {t}: abbey matron gets +0/+3 until end of turn.
17|abbot of keral keep|2015-07-17|1|0|0|0|0|"prowess (whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
when abbot of keral keep enters the battlefield, exile the top card of your library. until end of turn, you may play that card."
18|abduction|1997-06-09|0|0|0|0|1|"enchant creature
when abduction enters the battlefield, untap enchanted creature.
you control enchanted creature.
when enchanted creature dies, return that card to the battlefield under its owner's control."
19|abeyance|1997-06-09|0|0|0|1|0|"until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities.
draw a card."
20|abhorrent overlord|2013-09-21|0|0|1|0|0|"flying
when abhorrent overlord enters the battlefield, create a number of 1/1 black harpy creature tokens with flying equal to your devotion to black. (each {b} in the mana costs of permanents you control counts toward your devotion to black.)
at the beginning of your upkeep, sacrifice a creature."
21|abiding grace|2021-08-26|0|0|0|1|0|"at the beginning of your end step, choose one —
• you gain 1 life.
• return target creature card with mana value 1 from your graveyard to the battlefield."
22|abjure|1997-06-09|0|0|0|0|1|"as an additional cost to cast this spell, sacrifice a blue permanent.
counter target spell."
23|abnormal endurance|2018-07-13|0|0|1|0|0|"until end of turn, target creature gets +2/+0 and gains ""when this creature dies, return it to the battlefield tapped under its owner's control."""
24|abolish|2000-06-05|0|0|0|1|0|"you may discard a plains card rather than pay this spell's mana cost.
destroy target artifact or enchantment."
25|abominable treefolk|2019-06-05|0|1|0|0|1|"trample
abominable treefolk's power and toughness are each equal to the number of snow permanents you control.
when abominable treefolk enters the battlefield, tap target creature an opponent controls. that creature doesn't untap during its controller's next untap step."
26|abomination|1994-06-01|0|0|1|0|0|whenever abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.
27|abomination of gudul|2014-09-26|0|1|1|0|1|"flying
whenever abomination of gudul deals combat damage to a player, you may draw a card. if you do, discard a card.
morph {2}{b}{g}{u} (you may cast this card face down as a 2/2 creature for {3}. turn it face up any time for its morph cost.)"
28|abomination of llanowar|2020-11-20|0|1|1|0|0|"vigilance; menace (this creature can't be blocked except by two or more creatures.)
abomination of llanowar's power and toughness are each equal to the number of elves you control plus the number of elf cards in your graveyard."
29|aboroth|1997-06-09|0|1|0|0|0|cumulative upkeep—put a -1/-1 counter on aboroth. (at the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
30|aboshan's desire|2001-10-01|0|0|0|0|1|"enchant creature
enchanted creature has flying.
threshold — enchanted creature has shroud as long as seven or more cards are in your graveyard. (it can't be the target of spells or abilities.)"
31|aboshan, cephalid emperor|2001-10-01|0|0|0|0|1|"tap an untapped cephalid you control: tap target permanent.
{u}{u}{u}: tap all creatures without flying."
32|about face|1999-02-15|1|0|0|0|0|switch target creature's power and toughness until end of turn.
33|abrade|2017-07-14|1|0|0|0|0|"choose one —
• abrade deals 3 damage to target creature.
• destroy target artifact."
34|abrupt decay|2012-10-05|0|1|1|0|0|"this spell can't be countered.
destroy target nonland permanent with mana value 3 or less."
35|absolute grace|1998-10-12|0|0|0|1|0|all creatures have protection from black.
36|absolute law|1998-10-12|0|0|0|1|0|all creatures have protection from red.
37|absolver thrull|2006-02-03|0|0|0|1|0|"haunt (when this creature dies, exile it haunting target creature.)
when absolver thrull enters the battlefield or the creature it haunts dies, destroy target enchantment."
38|absorb|2000-10-02|0|0|0|1|1|counter target spell. you gain 3 life.
39|absorb energy|2021-12-09|0|0|0|0|1|"counter target spell. cards in your hand that share a card type with that spell perpetually gain ""this spell costs {1} less to cast."""
40|absorb identity|2021-02-05|0|0|0|0|1|return target creature to its owner's hand. you may have shapeshifters you control become copies of that creature until end of turn.
41|absorb vis|2009-02-06|0|0|1|0|0|"target player loses 4 life and you gain 4 life.
basic landcycling {1}{b} ({1}{b}, discard this card: search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
42|abstruse interference|2016-01-22|0|0|0|0|0|"devoid (this card has no color.)
counter target spell unless its controller pays {1}. you create a 1/1 colorless eldrazi scion creature token. it has ""sacrifice this creature: add {c}."" ({c} represents colorless mana.)"
43|abu ja'far|1993-12-17|0|0|0|1|0|when abu ja'far dies, destroy all creatures blocking or blocked by it. they can't be regenerated.
44|abuna acolyte|2010-09-30|0|0|0|1|0|"{t}: prevent the next 1 damage that would be dealt to any target this turn.
{t}: prevent the next 2 damage that would be dealt to target artifact creature this turn."
45|abundance|1998-10-12|0|1|0|0|0|if you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.
46|abundant growth|2012-04-28|0|1|0|0|0|"enchant land
when abundant growth enters the battlefield, draw a card.
enchanted land has ""{t}: add one mana of any color."""
47|abundant maw|2016-07-22|0|0|0|0|0|"emerge {6}{b} (you may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
when you cast this spell, target opponent loses 3 life and you gain 3 life."
48|abyssal gatekeeper|1997-06-09|0|0|1|0|0|when abyssal gatekeeper dies, each player sacrifices a creature.
49|abyssal horror|1998-10-12|0|0|1|0|0|"flying
when abyssal horror enters the battlefield, target player discards two cards."
50|abyssal hunter|1996-10-08|0|0|1|0|0|{b}, {t}: tap target creature. abyssal hunter deals damage equal to abyssal hunter's power to that creature.
51|abyssal nightstalker|1998-06-24|0|0|1|0|0|whenever abyssal nightstalker attacks and isn't blocked, defending player discards a card.
52|abyssal nocturnus|2006-02-03|0|0|1|0|0|whenever an opponent discards a card, abyssal nocturnus gets +2/+2 and gains fear until end of turn. (it can't be blocked except by artifact creatures and/or black creatures.)
53|abyssal persecutor|2010-02-05|0|0|1|0|0|"flying, trample
you can't win the game and your opponents can't lose the game."
54|abyssal specter|1995-06-03|0|0|1|0|0|"flying
whenever abyssal specter deals damage to a player, that player discards a card."
55|abzan advantage|2015-01-17|0|0|0|1|0|target player sacrifices an enchantment. bolster 1. (choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)
56|abzan ascendancy|2014-09-26|0|1|1|1|0|"when abzan ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.
whenever a nontoken creature you control dies, create a 1/1 white spirit creature token with flying."
57|abzan banner|2014-09-26|0|0|0|0|0|"{t}: add {w}, {b}, or {g}.
{w}{b}{g}, {t}, sacrifice abzan banner: draw a card."
58|abzan battle priest|2014-09-26|0|0|0|1|0|"outlast {w} ({w}, {t}: put a +1/+1 counter on this creature. outlast only as a sorcery.)
each creature you control with a +1/+1 counter on it has lifelink."
59|abzan beastmaster|2015-01-17|0|1|0|0|0|at the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.
60|abzan charm|2014-09-26|0|1|1|1|0|"choose one —
• exile target creature with power 3 or greater.
• you draw two cards and you lose 2 life.
• distribute two +1/+1 counters among one or two target creatures."
61|abzan falconer|2014-09-26|0|0|0|1|0|"outlast {w} ({w}, {t}: put a +1/+1 counter on this creature. outlast only as a sorcery.)
each creature you control with a +1/+1 counter on it has flying."
62|abzan guide|2014-09-26|0|1|1|1|0|"lifelink (damage dealt by this creature also causes you to gain that much life.)
morph {2}{w}{b}{g} (you may cast this card face down as a 2/2 creature for {3}. turn it face up any time for its morph cost.)"
63|abzan kin-guard|2015-01-17|0|1|0|0|0|abzan kin-guard has lifelink as long as you control a white or black permanent.
64|abzan runemark|2015-01-17|0|0|0|1|0|"enchant creature
enchanted creature gets +2/+2.
enchanted creature has vigilance as long as you control a black or green permanent."
65|abzan skycaptain|2015-01-17|0|0|0|1|0|"flying
when abzan skycaptain dies, bolster 2. (choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)"
66|academic dispute|2021-04-23|1|0|0|0|0|"target creature blocks this turn if able. you may have it gain reach until end of turn.
learn. (you may reveal a lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)"
67|academic probation|2021-04-23|0|0|0|1|0|"choose one —
• choose a nonland card name. opponents can't cast spells with the chosen name until your next turn.
• choose target nonland permanent. until your next turn, it can't attack or block, and its activated abilities can't be activated."
68|academy drake|2018-04-27|0|0|0|0|1|"kicker {4} (you may pay an additional {4} as you cast this spell.)
flying
if academy drake was kicked, it enters the battlefield with two +1/+1 counters on it."
69|academy elite|2014-06-06|0|0|0|0|1|"academy elite enters the battlefield with x +1/+1 counters on it, where x is the number of instant and sorcery cards in all graveyards.
{2}{u}, remove a +1/+1 counter from academy elite: draw a card, then discard a card."
70|academy journeymage|2018-04-27|0|0|0|0|1|"this spell costs {1} less to cast if you control a wizard.
when academy journeymage enters the battlefield, return target creature an opponent controls to its owner's hand."
71|academy raider|2013-07-19|1|0|0|0|0|"intimidate (this creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
whenever academy raider deals combat damage to a player, you may discard a card. if you do, draw a card."
72|academy rector|1999-06-07|0|0|0|1|0|when academy rector dies, you may exile it. if you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle.
73|academy researchers|1998-10-12|0|0|0|0|1|when academy researchers enters the battlefield, you may put an aura card from your hand onto the battlefield attached to academy researchers.
74|academy ruins|2006-10-06|0|0|0|0|0|"{t}: add {c}.
{1}{u}, {t}: put target artifact card from your graveyard on top of your library."
75|accelerate|2002-02-04|1|0|0|0|0|"target creature gains haste until end of turn.
draw a card."
76|accelerated mutation|2003-05-26|0|1|0|0|0|target creature gets +x/+x until end of turn, where x is the highest mana value among permanents you control.
77|acceptable losses|2001-10-01|1|0|0|0|0|"as an additional cost to cast this spell, discard a card at random.
acceptable losses deals 5 damage to target creature."
78|access tunnel|2021-04-23|0|0|0|0|0|"{t}: add {c}.
{3}, {t}: target creature with power 3 or less can't be blocked this turn."
79|acclaimed contender|2019-10-04|0|0|0|1|0|when acclaimed contender enters the battlefield, if you control another knight, look at the top five cards of your library. you may reveal a knight, aura, equipment, or legendary artifact card from among them and put it into your hand. put the rest on the bottom of your library in a random order.
80|accomplished alchemist|2021-04-23|0|1|0|0|0|"{t}: add one mana of any color.
{t}: add x mana of any one color, where x is the amount of life you gained this turn."
81|accomplished automaton|2016-09-30|0|0|0|0|0|fabricate 1 (when this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless servo artifact creature token.)
82|accorder paladin|2011-02-03|0|0|0|1|0|battle cry (whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
83|accorder's shield|2010-09-30|0|0|0|0|0|"equipped creature gets +0/+3 and has vigilance. (attacking doesn't cause it to tap.)
equip {3} ({3}: attach to target creature you control. equip only as a sorcery.)"
84|accumulated knowledge|2000-02-14|0|0|0|0|1|draw a card, then draw cards equal to the number of cards named accumulated knowledge in all graveyards.
85|accursed centaur|2002-10-07|0|0|1|0|0|when accursed centaur enters the battlefield, sacrifice a creature.
86|accursed horde|2017-07-14|0|0|1|0|0|"{1}{b}: target attacking zombie gains indestructible until end of turn. (damage and effects that say ""destroy"" don't destroy it. if its toughness is 0 or less, it's still put into its owner's graveyard.)"
87|accursed spirit|2013-07-19|0|0|1|0|0|intimidate (this creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
88|acid rain|1994-06-01|0|0|0|0|1|destroy all forests.
89|acid web spider|2010-09-30|0|1|0|0|0|"reach
when acid web spider enters the battlefield, you may destroy target equipment."
90|acid-spewer dragon|2015-03-27|0|0|1|0|0|"flying, deathtouch
megamorph {5}{b}{b} (you may cast this card face down as a 2/2 creature for {3}. turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
when acid-spewer dragon is turned face up, put a +1/+1 counter on each other dragon creature you control."
91|acidic dagger|1996-10-08|0|0|0|0|0|{4}, {t}: whenever target creature deals combat damage to a non-wall creature this turn, destroy that non-wall creature. when the targeted creature leaves the battlefield this turn, sacrifice acidic dagger. activate only before blockers are declared.
92|acidic slime|2009-07-16|0|1|0|0|0|"deathtouch (any amount of damage this deals to a creature is enough to destroy it.)
when acidic slime enters the battlefield, destroy target artifact, enchantment, or land."
93|acidic sliver|1998-03-02|1|0|1|0|0|"all slivers have ""{2}, sacrifice this permanent: this permanent deals 2 damage to any target."""
94|acidic soil|1998-10-12|1|0|0|0|0|acidic soil deals damage to each player equal to the number of lands they control.
95|acolyte of affliction|2020-01-24|0|1|1|0|0|when acolyte of affliction enters the battlefield, mill two cards, then you may return a permanent card from your graveyard to your hand.
96|acolyte of xathrid|2009-07-16|0|0|1|0|0|{1}{b}, {t}: target player loses 1 life.
97|acolyte of the inferno|2015-07-17|1|0|0|0|0|"renown 1 (when this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)
whenever acolyte of the inferno becomes blocked by a creature, it deals 2 damage to that creature."
98|acolyte's reward|2014-02-01|0|0|0|1|0|prevent the next x damage that would be dealt to target creature this turn, where x is your devotion to white. if damage is prevented this way, acolyte's reward deals that much damage to any target. (each {w} in the mana costs of permanents you control counts toward your devotion to white.)
99|acorn catapult|2011-06-17|0|0|0|0|0|{1}, {t}: acorn catapult deals 1 damage to any target. that permanent's controller or that player creates a 1/1 green squirrel creature token.
100|acorn harvest|2002-02-04|0|1|0|0|0|"create two 1/1 green squirrel creature tokens.
flashback—{1}{g}, pay 3 life. (you may cast this card from your graveyard for its flashback cost. then exile it.)"
101|acquisitions expert|2020-09-25|0|0|1|0|0|when acquisitions expert enters the battlefield, target opponent reveals a number of cards from their hand equal to the number of creatures in your party. you choose one of those cards. that player discards that card. (your party consists of up to one each of cleric, rogue, warrior, and wizard.)
102|acridian|1998-10-12|0|1|0|0|0|echo {1}{g} (at the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
103|acrobatic maneuver|2016-09-30|0|0|0|1|0|"exile target creature you control, then return that card to the battlefield under its owner's control.
draw a card."
104|act of aggression|2011-05-12|1|0|0|0|0|"({r/p} can be paid with either {r} or 2 life.)
gain control of target creature an opponent controls until end of turn. untap that creature. it gains haste until end of turn."
105|act of authority|2013-11-01|0|0|0|1|0|"when act of authority enters the battlefield, you may exile target artifact or enchantment.
at the beginning of your upkeep, you may exile target artifact or enchantment. if you do, its controller gains control of act of authority."
106|act of heroism|2017-07-14|0|0|0|1|0|untap target creature. it gets +2/+2 until end of turn and can block an additional creature this turn.
107|act of treason|2009-07-16|1|0|0|0|0|gain control of target creature until end of turn. untap that creature. it gains haste until end of turn. (it can attack and {t} this turn.)
108|act on impulse|2014-07-12|1|0|0|0|0|exile the top three cards of your library. until end of turn, you may play cards exiled this way. (if you cast a spell this way, you still pay its costs. you can play a land this way only if you have an available land play remaining.)
109|active volcano|1994-06-01|1|0|0|0|0|"choose one —
• destroy target blue permanent.
• return target island to its owner's hand."
110|ad nauseam|2008-10-03|0|0|1|0|0|reveal the top card of your library and put that card into your hand. you lose life equal to its mana value. you may repeat this process any number of times.
111|adamant will|2018-04-27|0|0|0|1|0|"target creature gets +2/+2 and gains indestructible until end of turn. (damage and effects that say ""destroy"" don't destroy it.)"
112|adamaro, first to desire|2005-06-03|1|0|0|0|0|adamaro, first to desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.
113|adanto vanguard|2017-09-29|0|0|0|1|0|"as long as adanto vanguard is attacking, it gets +2/+0.
pay 4 life: adanto vanguard gains indestructible until end of turn. (damage and effects that say ""destroy"" don't destroy it.)"
114|adaptive automaton|2011-07-14|0|0|0|0|0|"as adaptive automaton enters the battlefield, choose a creature type.
adaptive automaton is the chosen type in addition to its other types.
other creatures you control of the chosen type get +1/+1."
115|adaptive shimmerer|2020-04-24|0|0|0|0|0|"flash
adaptive shimmerer enters the battlefield with three +1/+1 counters on it."
116|adaptive snapjaw|2013-01-26|0|1|0|0|0|evolve (whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
117|adarkar sentinel|1995-06-03|0|0|0|0|0|{1}: adarkar sentinel gets +0/+1 until end of turn.
118|adarkar unicorn|1995-06-03|0|0|0|1|0|{t}: add {u} or {c}{u}. spend this mana only to pay cumulative upkeep costs.
119|adarkar valkyrie|2006-07-21|0|0|0|1|0|"flying, vigilance
{t}: when target creature other than adarkar valkyrie dies this turn, return that card to the battlefield under your control."
120|adarkar wastes|1995-06-03|0|0|0|0|0|"{t}: add {c}.
{t}: add {w} or {u}. adarkar wastes deals 1 damage to you."
121|adarkar windform|2006-07-21|0|0|0|0|1|"flying
{1}{s}: target creature loses flying until end of turn. ({s} can be paid with one mana from a snow source.)"
122|adder-staff boggart|2007-10-12|1|0|0|0|0|when adder-staff boggart enters the battlefield, clash with an opponent. if you win, put a +1/+1 counter on adder-staff boggart. (each clashing player reveals the top card of their library, then puts that card on the top or bottom. a player wins if their card had a higher mana value.)
123|addle|2000-10-02|0|0|1|0|0|choose a color. target player reveals their hand and you choose a card of that color from it. that player discards that card.
124|adeline, resplendent cathar|2022-01-28|0|0|0|1|0|"vigilance
adeline, resplendent cathar's power is equal to the number of creatures you control.
whenever you attack, for each opponent, create a 1/1 white human creature token that's tapped and attacking that player or a planeswalker they control."
125|adeliz, the cinder wind|2018-04-27|1|0|0|0|1|"flying, haste
whenever you cast an instant or sorcery spell, wizards you control get +1/+1 until end of turn."
126|adherent of hope|2020-07-03|0|0|0|1|0|at the beginning of combat on your turn, if you control a basri planeswalker, put a +1/+1 counter on adherent of hope.
127|admiral beckett brass|2017-09-29|1|0|1|0|1|"other pirates you control get +1/+1.
at the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more pirates this turn."
128|admiral's order|2018-01-19|0|0|0|0|1|"raid — if you attacked this turn, you may pay {u} rather than pay this spell's mana cost.
counter target spell."
129|admonition angel|2010-02-05|0|0|0|1|0|"flying
landfall — whenever a land enters the battlefield under your control, you may exile target nonland permanent other than admonition angel.
when admonition angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control."
130|adorned pouncer|2017-07-14|0|0|0|1|0|"double strike
eternalize {3}{w}{w} ({3}{w}{w}, exile this card from your graveyard: create a token that's a copy of it, except it's a 4/4 black zombie cat with no mana cost. eternalize only as a sorcery.)"
131|adriana's valor|2016-08-26|0|0|0|0|0|"hidden agenda (start the game with this conspiracy face down in the command zone and secretly choose a card name. you may turn this conspiracy face up any time and reveal that name.)
whenever a creature you control with the chosen name attacks, you may pay {w}. if you do, that creature gains indestructible until end of turn. (damage and effects that say ""destroy"" don't destroy it.)"
132|adriana, captain of the guard|2016-08-26|1|0|0|1|0|"melee (whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)
other creatures you control have melee. (if a creature has multiple instances of melee, each triggers separately.)"
133|adun oakenshield|1994-06-01|1|1|1|0|0|{b}{r}{g}, {t}: return target creature card from your graveyard to your hand.
134|advance scout|1997-10-14|0|0|0|1|0|"first strike
{w}: target creature gains first strike until end of turn."
135|advanced stitchwing|2016-07-22|0|0|0|0|1|"flying
{2}{u}, discard two cards: return advanced stitchwing from your graveyard to the battlefield tapped."
136|advantageous proclamation|2014-06-06|0|0|0|0|0|"(start the game with this conspiracy face up in the command zone.)
your minimum deck size is reduced by five."
137|advent of the wurm|2013-04-27|0|1|0|1|0|create a 5/5 green wurm creature token with trample.
138|adventure awaits|2020-09-25|0|1|0|0|0|look at the top five cards of your library. you may reveal a creature card from among them and put it into your hand. put the rest on the bottom of your library in a random order. if you didn't put a card into your hand this way, draw a card.
139|adventurers' guildhouse|1994-06-01|0|0|0|0|0|"green legendary creatures you control have ""bands with other legendary creatures."" (any legendary creatures can attack in a band as long as at least one has ""bands with other legendary creatures."" bands are blocked as a group. if at least two legendary creatures you control, one of which has ""bands with other legendary creatures,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
140|adventuring gear|2009-10-02|0|0|0|0|0|"landfall — whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.
equip {1} ({1}: attach to target creature you control. equip only as a sorcery.)"
141|adventurous impulse|2018-04-27|0|1|0|0|0|look at the top three cards of your library. you may reveal a creature or land card from among them and put it into your hand. put the rest on the bottom of your library in any order.
142|adverse conditions|2015-10-02|0|0|0|0|0|"devoid (this card has no color.)
tap up to two target creatures. those creatures don't untap during their controller's next untap step. create a 1/1 colorless eldrazi scion creature token. it has ""sacrifice this creature: add {c}."""
143|advice from the fae|2008-05-02|0|0|0|0|1|"({2/u} can be paid with any two mana or with {u}. this card's mana value is 6.)
look at the top five cards of your library. if you control more creatures than each other player, put two of those cards into your hand. otherwise, put one of them into your hand. then put the rest on the bottom of your library in any order."
144|advocate of the beast|2013-07-19|0|1|0|0|0|at the beginning of your end step, put a +1/+1 counter on target beast creature you control.
145|aegar, the freezing flame|2021-02-05|1|0|0|0|1|whenever a creature or planeswalker an opponent controls is dealt excess damage, if a giant, wizard, or spell you controlled dealt damage to it this turn, draw a card.
146|aegis angel|2011-07-14|0|0|0|1|0|"flying (this creature can't be blocked except by creatures with flying or reach.)
when aegis angel enters the battlefield, another target permanent gains indestructible for as long as you control aegis angel. (effects that say ""destroy"" don't destroy it. a creature with indestructible can't be destroyed by damage.)"
147|aegis automaton|2017-01-20|0|0|0|0|0|{4}{w}: return another target creature you control to its owner's hand.
148|aegis turtle|2020-04-24|0|0|0|0|1|{empty}
149|aegis of honor|2001-10-01|0|0|0|1|0|{1}: the next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.
150|aegis of the gods|2014-04-26|0|0|0|1|0|you have hexproof. (you can't be the target of spells or abilities your opponents control.)
151|aegis of the heavens|2018-07-13|0|0|0|1|0|target creature gets +1/+7 until end of turn.
152|aegis of the meek|1995-06-03|0|0|0|0|0|{1}, {t}: target 1/1 creature gets +1/+2 until end of turn.
153|aeolipile|1994-11-01|0|0|0|0|0|{1}, {t}, sacrifice aeolipile: it deals 2 damage to any target.
154|aeon chronicler|2007-02-02|0|0|0|0|1|"aeon chronicler's power and toughness are each equal to the number of cards in your hand.
suspend x—{x}{3}{u}. x can't be 0.
whenever a time counter is removed from aeon chronicler while it's exiled, draw a card."
155|aeon engine|2019-08-23|0|0|0|0|0|"aeon engine enters the battlefield tapped.
{t}, exile aeon engine: reverse the game's turn order. (for example, if play had proceeded clockwise around the table, it now goes counterclockwise.)"
156|aerathi berserker|1994-06-01|1|0|0|0|0|rampage 3 (whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)
157|aerial assault|2019-07-12|0|0|0|1|0|destroy target tapped creature. you gain 1 life for each creature you control with flying.
158|aerial caravan|1999-10-04|0|0|0|0|1|"flying
{1}{u}{u}: exile the top card of your library. until end of turn, you may play that card. (reveal the card as you exile it.)"
159|aerial engineer|2018-07-13|0|0|0|1|1|as long as you control an artifact, aerial engineer gets +2/+0 and has flying.
160|aerial formation|2014-04-26|0|0|0|0|1|"strive — this spell costs {2}{u} more to cast for each target beyond the first.
any number of target creatures each get +1/+1 and gain flying until end of turn."
161|aerial guide|2017-07-14|0|0|0|0|1|"flying
whenever aerial guide attacks, another target attacking creature gains flying until end of turn."
162|aerial maneuver|2013-01-26|0|0|0|1|0|target creature gets +1/+1 and gains flying and first strike until end of turn.
163|aerial modification|2017-01-20|0|0|0|1|0|"enchant creature or vehicle
as long as enchanted permanent is a vehicle, it's a creature in addition to its other types.
enchanted creature gets +2/+2 and has flying."
164|aerial predation|2012-10-05|0|1|0|0|0|destroy target creature with flying. you gain 2 life.
165|aerial responder|2016-09-30|0|0|0|1|0|flying, vigilance, lifelink
166|aerial volley|2015-07-17|0|1|0|0|0|aerial volley deals 3 damage divided as you choose among one, two, or three target creatures with flying.
167|aerie bowmasters|2015-03-27|0|1|0|0|0|"reach (this creature can block creatures with flying.)
megamorph {5}{g} (you may cast this card face down as a 2/2 creature for {3}. turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)"
168|aerie mystics|2009-02-06|0|0|0|1|0|"flying
{1}{g}{u}: creatures you control gain shroud until end of turn. (they can't be the targets of spells or abilities.)"
169|aerie ouphes|2008-07-25|0|1|0|0|0|"sacrifice aerie ouphes: it deals damage equal to its power to target creature with flying.
persist (when this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)"
170|aerie worshippers|2014-02-01|0|0|0|0|1|inspired — whenever aerie worshippers becomes untapped, you may pay {2}{u}. if you do, create a 2/2 blue bird enchantment creature token with flying.
171|aeromoeba|2021-08-26|0|0|0|0|1|"flying
discard a card: switch aeromoeba's power and toughness until end of turn."
172|aeromunculus|2019-01-25|0|1|0|0|1|"flying
{2}{g}{u}: adapt 1. (if this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)"
173|aeronaut admiral|2017-01-20|0|0|0|1|0|"flying
vehicles you control have flying."
174|aeronaut tinkerer|2014-07-12|0|0|0|0|1|aeronaut tinkerer has flying as long as you control an artifact. (it can't be blocked except by creatures with flying or reach.)
175|aesi, tyrant of gyre strait|2020-11-20|0|1|0|0|1|"you may play an additional land on each of your turns.
whenever a land enters the battlefield under your control, you may draw a card."
