|name|printed|r|g|b|w|u|text
10|Abandon the Post|2022-01-28|1|0|0|0|0|"Up to two target creatures can't block this turn.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
11|Abandoned Outpost|2001-10-01|0|0|0|0|0|"Abandoned Outpost enters the battlefield tapped.
{T}: Add {W}.
{T}, Sacrifice Abandoned Outpost: Add one mana of any color."
12|Abandoned Sarcophagus|2017-07-14|0|0|0|0|0|"You may cast spells that have a cycling ability from your graveyard.
If a card that has a cycling ability would be put into your graveyard from anywhere and it wasn't cycled, exile it instead."
13|Abattoir Ghoul|2011-09-24|0|0|1|0|0|"First strike
Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness."
14|Abbey Gargoyles|1995-10-01|0|0|0|1|0|Flying, protection from red
15|Abbey Griffin|2011-09-24|0|0|0|1|0|Flying, vigilance
16|Abbey Matron|1995-10-01|0|0|0|1|0|{W}, {T}: Abbey Matron gets +0/+3 until end of turn.
17|Abbot of Keral Keep|2015-07-17|1|0|0|0|0|"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card."
18|Abduction|1997-06-09|0|0|0|0|1|"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its owner's control."
19|Abeyance|1997-06-09|0|0|0|1|0|"Until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities.
Draw a card."
20|Abhorrent Overlord|2013-09-21|0|0|1|0|0|"Flying
When Abhorrent Overlord enters the battlefield, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
At the beginning of your upkeep, sacrifice a creature."
21|Abiding Grace|2021-08-26|0|0|0|1|0|"At the beginning of your end step, choose one —
• You gain 1 life.
• Return target creature card with mana value 1 from your graveyard to the battlefield."
22|Abjure|1997-06-09|0|0|0|0|1|"As an additional cost to cast this spell, sacrifice a blue permanent.
Counter target spell."
23|Abnormal Endurance|2018-07-13|0|0|1|0|0|"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control."""
24|Abolish|2000-06-05|0|0|0|1|0|"You may discard a Plains card rather than pay this spell's mana cost.
Destroy target artifact or enchantment."
25|Abominable Treefolk|2019-06-05|0|1|0|0|1|"Trample
Abominable Treefolk's power and toughness are each equal to the number of snow permanents you control.
When Abominable Treefolk enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step."
26|Abomination|1994-06-01|0|0|1|0|0|Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.
27|Abomination of Gudul|2014-09-26|0|1|1|0|1|"Flying
Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.
Morph {2}{B}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
28|Abomination of Llanowar|2020-11-20|0|1|1|0|0|"Vigilance; menace (This creature can't be blocked except by two or more creatures.)
Abomination of Llanowar's power and toughness are each equal to the number of Elves you control plus the number of Elf cards in your graveyard."
29|Aboroth|1997-06-09|0|1|0|0|0|Cumulative upkeep—Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
30|Aboshan's Desire|2001-10-01|0|0|0|0|1|"Enchant creature
Enchanted creature has flying.
Threshold — Enchanted creature has shroud as long as seven or more cards are in your graveyard. (It can't be the target of spells or abilities.)"
31|Aboshan, Cephalid Emperor|2001-10-01|0|0|0|0|1|"Tap an untapped Cephalid you control: Tap target permanent.
{U}{U}{U}: Tap all creatures without flying."
32|About Face|1999-02-15|1|0|0|0|0|Switch target creature's power and toughness until end of turn.
33|Abrade|2017-07-14|1|0|0|0|0|"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact."
34|Abrupt Decay|2012-10-05|0|1|1|0|0|"This spell can't be countered.
Destroy target nonland permanent with mana value 3 or less."
35|Absolute Grace|1998-10-12|0|0|0|1|0|All creatures have protection from black.
36|Absolute Law|1998-10-12|0|0|0|1|0|All creatures have protection from red.
37|Absolver Thrull|2006-02-03|0|0|0|1|0|"Haunt (When this creature dies, exile it haunting target creature.)
When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment."
38|Absorb|2000-10-02|0|0|0|1|1|Counter target spell. You gain 3 life.
39|Absorb Energy|2021-12-09|0|0|0|0|1|"Counter target spell. Cards in your hand that share a card type with that spell perpetually gain ""This spell costs {1} less to cast."""
40|Absorb Identity|2021-02-05|0|0|0|0|1|Return target creature to its owner's hand. You may have Shapeshifters you control become copies of that creature until end of turn.
41|Absorb Vis|2009-02-06|0|0|1|0|0|"Target player loses 4 life and you gain 4 life.
Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
42|Abstruse Interference|2016-01-22|0|0|0|0|0|"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)"
43|Abu Ja'far|1993-12-17|0|0|0|1|0|When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.
44|Abuna Acolyte|2010-09-30|0|0|0|1|0|"{T}: Prevent the next 1 damage that would be dealt to any target this turn.
{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn."
45|Abundance|1998-10-12|0|1|0|0|0|If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.
46|Abundant Growth|2012-04-28|0|1|0|0|0|"Enchant land
When Abundant Growth enters the battlefield, draw a card.
Enchanted land has ""{T}: Add one mana of any color."""
47|Abundant Maw|2016-07-22|0|0|0|0|0|"Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, target opponent loses 3 life and you gain 3 life."
48|Abyssal Gatekeeper|1997-06-09|0|0|1|0|0|When Abyssal Gatekeeper dies, each player sacrifices a creature.
49|Abyssal Horror|1998-10-12|0|0|1|0|0|"Flying
When Abyssal Horror enters the battlefield, target player discards two cards."
50|Abyssal Hunter|1996-10-08|0|0|1|0|0|{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.
51|Abyssal Nightstalker|1998-06-24|0|0|1|0|0|Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.
52|Abyssal Nocturnus|2006-02-03|0|0|1|0|0|Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)
53|Abyssal Persecutor|2010-02-05|0|0|1|0|0|"Flying, trample
You can't win the game and your opponents can't lose the game."
54|Abyssal Specter|1995-06-03|0|0|1|0|0|"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card."
55|Abzan Advantage|2015-01-17|0|0|0|1|0|Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)
56|Abzan Ascendancy|2014-09-26|0|1|1|1|0|"When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.
Whenever a nontoken creature you control dies, create a 1/1 white Spirit creature token with flying."
57|Abzan Banner|2014-09-26|0|0|0|0|0|"{T}: Add {W}, {B}, or {G}.
{W}{B}{G}, {T}, Sacrifice Abzan Banner: Draw a card."
58|Abzan Battle Priest|2014-09-26|0|0|0|1|0|"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has lifelink."
59|Abzan Beastmaster|2015-01-17|0|1|0|0|0|At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.
60|Abzan Charm|2014-09-26|0|1|1|1|0|"Choose one —
• Exile target creature with power 3 or greater.
• You draw two cards and you lose 2 life.
• Distribute two +1/+1 counters among one or two target creatures."
61|Abzan Falconer|2014-09-26|0|0|0|1|0|"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has flying."
62|Abzan Guide|2014-09-26|0|1|1|1|0|"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
63|Abzan Kin-Guard|2015-01-17|0|1|0|0|0|Abzan Kin-Guard has lifelink as long as you control a white or black permanent.
64|Abzan Runemark|2015-01-17|0|0|0|1|0|"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature has vigilance as long as you control a black or green permanent."
65|Abzan Skycaptain|2015-01-17|0|0|0|1|0|"Flying
When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)"
66|Academic Dispute|2021-04-23|1|0|0|0|0|"Target creature blocks this turn if able. You may have it gain reach until end of turn.
Learn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)"
67|Academic Probation|2021-04-23|0|0|0|1|0|"Choose one —
• Choose a nonland card name. Opponents can't cast spells with the chosen name until your next turn.
• Choose target nonland permanent. Until your next turn, it can't attack or block, and its activated abilities can't be activated."
68|Academy Drake|2018-04-27|0|0|0|0|1|"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Flying
If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it."
69|Academy Elite|2014-06-06|0|0|0|0|1|"Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.
{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card."
70|Academy Journeymage|2018-04-27|0|0|0|0|1|"This spell costs {1} less to cast if you control a Wizard.
When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand."
71|Academy Raider|2013-07-19|1|0|0|0|0|"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card."
72|Academy Rector|1999-06-07|0|0|0|1|0|When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle.
73|Academy Researchers|1998-10-12|0|0|0|0|1|When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.
74|Academy Ruins|2006-10-06|0|0|0|0|0|"{T}: Add {C}.
{1}{U}, {T}: Put target artifact card from your graveyard on top of your library."
75|Accelerate|2002-02-04|1|0|0|0|0|"Target creature gains haste until end of turn.
Draw a card."
76|Accelerated Mutation|2003-05-26|0|1|0|0|0|Target creature gets +X/+X until end of turn, where X is the highest mana value among permanents you control.
77|Acceptable Losses|2001-10-01|1|0|0|0|0|"As an additional cost to cast this spell, discard a card at random.
Acceptable Losses deals 5 damage to target creature."
78|Access Tunnel|2021-04-23|0|0|0|0|0|"{T}: Add {C}.
{3}, {T}: Target creature with power 3 or less can't be blocked this turn."
79|Acclaimed Contender|2019-10-04|0|0|0|1|0|When Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
80|Accomplished Alchemist|2021-04-23|0|1|0|0|0|"{T}: Add one mana of any color.
{T}: Add X mana of any one color, where X is the amount of life you gained this turn."
81|Accomplished Automaton|2016-09-30|0|0|0|0|0|Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)
82|Accorder Paladin|2011-02-03|0|0|0|1|0|Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
83|Accorder's Shield|2010-09-30|0|0|0|0|0|"Equipped creature gets +0/+3 and has vigilance. (Attacking doesn't cause it to tap.)
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
84|Accumulated Knowledge|2000-02-14|0|0|0|0|1|Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.
85|Accursed Centaur|2002-10-07|0|0|1|0|0|When Accursed Centaur enters the battlefield, sacrifice a creature.
86|Accursed Horde|2017-07-14|0|0|1|0|0|"{1}{B}: Target attacking Zombie gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)"
87|Accursed Spirit|2013-07-19|0|0|1|0|0|Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
88|Acid Rain|1994-06-01|0|0|0|0|1|Destroy all Forests.
89|Acid Web Spider|2010-09-30|0|1|0|0|0|"Reach
When Acid Web Spider enters the battlefield, you may destroy target Equipment."
90|Acid-Spewer Dragon|2015-03-27|0|0|1|0|0|"Flying, deathtouch
Megamorph {5}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control."
91|Acidic Dagger|1996-10-08|0|0|0|0|0|{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate only before blockers are declared.
92|Acidic Slime|2009-07-16|0|1|0|0|0|"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land."
93|Acidic Sliver|1998-03-02|1|0|1|0|0|"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to any target."""
94|Acidic Soil|1998-10-12|1|0|0|0|0|Acidic Soil deals damage to each player equal to the number of lands they control.
95|Acolyte of Affliction|2020-01-24|0|1|1|0|0|When Acolyte of Affliction enters the battlefield, mill two cards, then you may return a permanent card from your graveyard to your hand.
96|Acolyte of Xathrid|2009-07-16|0|0|1|0|0|{1}{B}, {T}: Target player loses 1 life.
97|Acolyte of the Inferno|2015-07-17|1|0|0|0|0|"Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)
Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature."
98|Acolyte's Reward|2014-02-01|0|0|0|1|0|Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
99|Acorn Catapult|2011-06-17|0|0|0|0|0|{1}, {T}: Acorn Catapult deals 1 damage to any target. That permanent's controller or that player creates a 1/1 green Squirrel creature token.
100|Acorn Harvest|2002-02-04|0|1|0|0|0|"Create two 1/1 green Squirrel creature tokens.
Flashback—{1}{G}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
101|Acquisitions Expert|2020-09-25|0|0|1|0|0|When Acquisitions Expert enters the battlefield, target opponent reveals a number of cards from their hand equal to the number of creatures in your party. You choose one of those cards. That player discards that card. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)
102|Acridian|1998-10-12|0|1|0|0|0|Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
103|Acrobatic Maneuver|2016-09-30|0|0|0|1|0|"Exile target creature you control, then return that card to the battlefield under its owner's control.
Draw a card."
104|Act of Aggression|2011-05-12|1|0|0|0|0|"({R/P} can be paid with either {R} or 2 life.)
Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn."
105|Act of Authority|2013-11-01|0|0|0|1|0|"When Act of Authority enters the battlefield, you may exile target artifact or enchantment.
At the beginning of your upkeep, you may exile target artifact or enchantment. If you do, its controller gains control of Act of Authority."
106|Act of Heroism|2017-07-14|0|0|0|1|0|Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.
107|Act of Treason|2009-07-16|1|0|0|0|0|Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)
108|Act on Impulse|2014-07-12|1|0|0|0|0|Exile the top three cards of your library. Until end of turn, you may play cards exiled this way. (If you cast a spell this way, you still pay its costs. You can play a land this way only if you have an available land play remaining.)
109|Active Volcano|1994-06-01|1|0|0|0|0|"Choose one —
• Destroy target blue permanent.
• Return target Island to its owner's hand."
110|Ad Nauseam|2008-10-03|0|0|1|0|0|Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.
111|Adamant Will|2018-04-27|0|0|0|1|0|"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
112|Adamaro, First to Desire|2005-06-03|1|0|0|0|0|Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.
113|Adanto Vanguard|2017-09-29|0|0|0|1|0|"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
114|Adaptive Automaton|2011-07-14|0|0|0|0|0|"As Adaptive Automaton enters the battlefield, choose a creature type.
Adaptive Automaton is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1/+1."
115|Adaptive Shimmerer|2020-04-24|0|0|0|0|0|"Flash
Adaptive Shimmerer enters the battlefield with three +1/+1 counters on it."
116|Adaptive Snapjaw|2013-01-26|0|1|0|0|0|Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
117|Adarkar Sentinel|1995-06-03|0|0|0|0|0|{1}: Adarkar Sentinel gets +0/+1 until end of turn.
118|Adarkar Unicorn|1995-06-03|0|0|0|1|0|{T}: Add {U} or {C}{U}. Spend this mana only to pay cumulative upkeep costs.
119|Adarkar Valkyrie|2006-07-21|0|0|0|1|0|"Flying, vigilance
{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control."
120|Adarkar Wastes|1995-06-03|0|0|0|0|0|"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you."
121|Adarkar Windform|2006-07-21|0|0|0|0|1|"Flying
{1}{S}: Target creature loses flying until end of turn. ({S} can be paid with one mana from a snow source.)"
122|Adder-Staff Boggart|2007-10-12|1|0|0|0|0|When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)
123|Addle|2000-10-02|0|0|1|0|0|Choose a color. Target player reveals their hand and you choose a card of that color from it. That player discards that card.
124|Adeline, Resplendent Cathar|2022-01-28|0|0|0|1|0|"Vigilance
Adeline, Resplendent Cathar's power is equal to the number of creatures you control.
Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control."
125|Adeliz, the Cinder Wind|2018-04-27|1|0|0|0|1|"Flying, haste
Whenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn."
126|Adherent of Hope|2020-07-03|0|0|0|1|0|At the beginning of combat on your turn, if you control a Basri planeswalker, put a +1/+1 counter on Adherent of Hope.
127|Admiral Beckett Brass|2017-09-29|1|0|1|0|1|"Other Pirates you control get +1/+1.
At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn."
128|Admiral's Order|2018-01-19|0|0|0|0|1|"Raid — If you attacked this turn, you may pay {U} rather than pay this spell's mana cost.
Counter target spell."
129|Admonition Angel|2010-02-05|0|0|0|1|0|"Flying
Landfall — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.
When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control."
130|Adorned Pouncer|2017-07-14|0|0|0|1|0|"Double strike
Eternalize {3}{W}{W} ({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)"
131|Adriana's Valor|2016-08-26|0|0|0|0|0|"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)
Whenever a creature you control with the chosen name attacks, you may pay {W}. If you do, that creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
132|Adriana, Captain of the Guard|2016-08-26|1|0|0|1|0|"Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)
Other creatures you control have melee. (If a creature has multiple instances of melee, each triggers separately.)"
133|Adun Oakenshield|1994-06-01|1|1|1|0|0|{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.
134|Advance Scout|1997-10-14|0|0|0|1|0|"First strike
{W}: Target creature gains first strike until end of turn."
135|Advanced Stitchwing|2016-07-22|0|0|0|0|1|"Flying
{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped."
136|Advantageous Proclamation|2014-06-06|0|0|0|0|0|"(Start the game with this conspiracy face up in the command zone.)
Your minimum deck size is reduced by five."
137|Advent of the Wurm|2013-04-27|0|1|0|1|0|Create a 5/5 green Wurm creature token with trample.
138|Adventure Awaits|2020-09-25|0|1|0|0|0|Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, draw a card.
139|Adventurers' Guildhouse|1994-06-01|0|0|0|0|0|"Green legendary creatures you control have ""bands with other legendary creatures."" (Any legendary creatures can attack in a band as long as at least one has ""bands with other legendary creatures."" Bands are blocked as a group. If at least two legendary creatures you control, one of which has ""bands with other legendary creatures,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
140|Adventuring Gear|2009-10-02|0|0|0|0|0|"Landfall — Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
141|Adventurous Impulse|2018-04-27|0|1|0|0|0|Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
142|Adverse Conditions|2015-10-02|0|0|0|0|0|"Devoid (This card has no color.)
Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."""
143|Advice from the Fae|2008-05-02|0|0|0|0|1|"({2/U} can be paid with any two mana or with {U}. This card's mana value is 6.)
Look at the top five cards of your library. If you control more creatures than each other player, put two of those cards into your hand. Otherwise, put one of them into your hand. Then put the rest on the bottom of your library in any order."
144|Advocate of the Beast|2013-07-19|0|1|0|0|0|At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.
145|Aegar, the Freezing Flame|2021-02-05|1|0|0|0|1|Whenever a creature or planeswalker an opponent controls is dealt excess damage, if a Giant, Wizard, or spell you controlled dealt damage to it this turn, draw a card.
146|Aegis Angel|2011-07-14|0|0|0|1|0|"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)"
147|Aegis Automaton|2017-01-20|0|0|0|0|0|{4}{W}: Return another target creature you control to its owner's hand.
148|Aegis Turtle|2020-04-24|0|0|0|0|1|
149|Aegis of Honor|2001-10-01|0|0|0|1|0|{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.
150|Aegis of the Gods|2014-04-26|0|0|0|1|0|You have hexproof. (You can't be the target of spells or abilities your opponents control.)
151|Aegis of the Heavens|2018-07-13|0|0|0|1|0|Target creature gets +1/+7 until end of turn.
152|Aegis of the Meek|1995-06-03|0|0|0|0|0|{1}, {T}: Target 1/1 creature gets +1/+2 until end of turn.
153|Aeolipile|1994-11-01|0|0|0|0|0|{1}, {T}, Sacrifice Aeolipile: It deals 2 damage to any target.
154|Aeon Chronicler|2007-02-02|0|0|0|0|1|"Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.
Suspend X—{X}{3}{U}. X can't be 0.
Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card."
155|Aeon Engine|2019-08-23|0|0|0|0|0|"Aeon Engine enters the battlefield tapped.
{T}, Exile Aeon Engine: Reverse the game's turn order. (For example, if play had proceeded clockwise around the table, it now goes counterclockwise.)"
156|Aerathi Berserker|1994-06-01|1|0|0|0|0|Rampage 3 (Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)
157|Aerial Assault|2019-07-12|0|0|0|1|0|Destroy target tapped creature. You gain 1 life for each creature you control with flying.
158|Aerial Caravan|1999-10-04|0|0|0|0|1|"Flying
{1}{U}{U}: Exile the top card of your library. Until end of turn, you may play that card. (Reveal the card as you exile it.)"
159|Aerial Engineer|2018-07-13|0|0|0|1|1|As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.
160|Aerial Formation|2014-04-26|0|0|0|0|1|"Strive — This spell costs {2}{U} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain flying until end of turn."
161|Aerial Guide|2017-07-14|0|0|0|0|1|"Flying
Whenever Aerial Guide attacks, another target attacking creature gains flying until end of turn."
162|Aerial Maneuver|2013-01-26|0|0|0|1|0|Target creature gets +1/+1 and gains flying and first strike until end of turn.
163|Aerial Modification|2017-01-20|0|0|0|1|0|"Enchant creature or Vehicle
As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.
Enchanted creature gets +2/+2 and has flying."
